站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20250605221700,4.3,1011.1,44,220,11.8,0.5,10047.8
58102,20250605221700,30.5,1013.8,39,161,6.3,0.5,10233.2
58118,20250605221700,19.0,1006.8,26,205,8.2,1.1,10497.2
58122,20250605221700,2.3,1020.2,16,329,9.1,0.3,10007.7
58203,20250605221700,7.8,1019.1,71,353,12.9,0.6,10261.7
58215,20250605221700,14.7,1013.5,57,184,8.3,0.6,10127.9
58221,20250605221700,9.7,1007.2,8,169,3.8,0.9,10059.7
58225,20250605221700,32.0,1017.9,77,205,11.8,0.6,10349.5
58236,20250605221700,20.9,1011.5,4,189,10.1,0.3,10005.0
58311,20250605221700,3.2,1003.1,18,191,11.9,0.4,10020.4
58314,20250605221700,0.2,1012.6,19,251,4.8,0.4,10207.1
58319,20250605221700,18.6,1016.0,75,198,12.6,0.3,10460.7
58321,20250605221700,29.7,1017.1,76,138,11.1,0.5,10162.7
58326,20250605221700,11.4,1024.5,54,216,12.3,1.0,10470.3
58336,20250605221700,14.2,1026.0,88,137,14.1,0.8,10375.1
58338,20250605221700,4.2,1010.7,20,28,7.9,1.3,10180.9
58414,20250605221700,25.7,1010.7,70,164,2.3,0.8,10060.0
58419,20250605221700,18.5,1014.8,86,211,4.3,0.5,10078.5
58424,20250605221700,1.7,1020.0,0,221,2.8,1.0,10398.8
58429,20250605221700,1.9,1000.5,88,111,9.2,0.4,10192.3
58436,20250605221700,12.3,1017.9,83,0,6.1,0.5,10063.3
58437,20250605221700,3.5,1024.1,18,32,11.9,0.3,10302.7
58520,20250605221700,1.5,1022.6,44,224,14.4,0.3,10272.5
58531,20250605221700,7.2,1022.5,17,101,12.2,1.5,10030.1
54406,20250605221700,21.6,1018.1,72,339,4.1,0.8,10157.4
54416,20250605221700,15.2,1023.1,48,209,2.7,0.5,10302.8
54511,20250605221700,14.9,1008.5,24,136,5.6,1.2,10286.5
58725,20250605221700,10.2,1025.3,87,94,6.1,0.1,10033.2
58730,20250605221700,23.3,1024.9,61,262,2.6,1.0,10306.7
58731,20250605221700,31.9,1018.1,20,311,6.7,1.4,10054.3
58734,20250605221700,29.7,1014.6,10,218,0.1,0.7,10412.5
58737,20250605221700,31.0,1015.4,20,324,8.9,1.5,10287.6
58744,20250605221700,5.0,1006.0,90,86,12.9,0.0,10464.7
58754,20250605221700,15.7,1001.0,0,86,1.6,0.3,10192.0
58818,20250605221700,28.5,1000.6,68,94,10.3,0.9,10450.3
58820,20250605221700,20.6,1010.8,19,228,12.9,1.2,10215.8
58834,20250605221700,32.0,1023.5,100,353,14.5,0.3,10478.6
58837,20250605221700,22.6,1009.6,18,76,8.1,0.8,10165.3
58843,20250605221700,4.9,1010.9,49,276,5.1,1.5,10301.7
58846,20250605221700,20.6,1002.9,11,114,7.4,0.6,10374.8
58847,20250605221700,30.5,1003.5,86,255,5.2,0.4,10098.9
58911,20250605221700,34.7,1014.6,31,186,10.2,1.0,10384.7
58918,20250605221700,23.5,1000.1,72,24,12.0,0.1,10463.2
58921,20250605221700,32.1,1014.5,68,69,14.1,0.3,10122.5
58926,20250605221700,1.5,1015.5,99,290,12.7,1.5,10481.8
58927,20250605221700,33.0,1005.8,50,69,12.4,0.2,10176.7
58931,20250605221700,2.8,1011.9,4,123,0.5,1.4,10213.1
58933,20250605221700,27.8,1015.6,96,41,1.1,1.5,10399.9
58936,20250605221700,30.5,1022.7,18,300,11.9,0.6,10050.2
58944,20250605221700,4.6,1016.8,40,336,4.8,0.3,10212.8
59113,20250605221700,32.4,1019.8,46,262,11.0,0.3,10351.8
59126,20250605221700,11.5,1025.8,34,135,7.4,1.1,10140.4
59133,20250605221700,3.7,1011.0,44,312,1.4,0.7,10391.6
59134,20250605221700,8.3,1025.6,29,230,1.6,1.3,10274.5
59321,20250605221700,31.4,1022.6,16,228,3.0,1.0,10378.5
52323,20250605221700,19.2,1008.0,78,209,9.8,1.5,10427.5
52418,20250605221700,7.2,1005.4,60,69,6.7,0.2,10149.8
52424,20250605221700,8.1,1021.7,83,297,5.0,1.5,10017.4
52436,20250605221700,1.6,1014.9,63,250,6.0,1.0,10235.4
52446,20250605221700,34.2,1003.1,55,34,12.3,0.3,10366.7
52447,20250605221700,2.1,1010.5,12,325,1.6,1.5,10441.5
52533,20250605221700,8.3,1013.5,70,187,12.4,1.1,10074.8
52546,20250605221700,7.4,1013.4,87,232,2.8,0.8,10254.6
52652,20250605221700,4.1,1022.0,77,13,12.8,0.8,10059.7
52661,20250605221700,25.1,1022.6,53,254,13.3,0.1,10079.2
52674,20250605221700,4.9,1000.8,38,195,5.5,1.4,10261.1
52679,20250605221700,12.9,1008.6,64,315,12.0,1.3,10157.3
52681,20250605221700,10.1,1017.2,26,342,14.0,0.5,10053.8
52787,20250605221700,6.8,1024.0,12,182,5.8,0.7,10298.9
52797,20250605221700,34.1,1000.1,36,182,14.4,1.4,10269.1
52884,20250605221700,14.9,1014.9,15,220,10.0,0.1,10409.6
52895,20250605221700,2.3,1012.4,85,294,11.2,1.5,10315.7
52983,20250605221700,10.4,1011.7,72,122,9.7,1.1,10117.7
52984,20250605221700,30.5,1010.9,1,38,3.1,1.3,10485.1
52986,20250605221700,2.7,1020.2,91,157,4.1,1.4,10259.8
52996,20250605221700,34.4,1012.7,67,249,2.2,0.3,10190.8
53821,20250605221700,33.6,1021.7,70,70,1.1,1.0,10347.4
53915,20250605221700,6.1,1018.1,73,106,10.6,0.6,10495.8
53923,20250605221700,23.7,1002.5,69,334,12.2,0.4,10183.9
56074,20250605221700,1.5,1023.7,30,259,7.0,0.6,10024.7
56080,20250605221700,4.4,1003.8,68,210,12.2,1.4,10177.7
56093,20250605221700,23.4,1006.7,60,205,9.8,0.1,10139.2
56096,20250605221700,25.4,1020.9,73,273,1.4,1.4,10353.9
57014,20250605221700,8.8,1005.6,51,254,2.5,0.8,10247.9
57996,20250605221700,24.7,1004.5,3,111,14.6,0.9,10393.1
59072,20250605221700,6.8,1011.8,90,192,0.5,0.2,10181.6
59082,20250605221700,15.3,1007.7,63,270,2.9,0.5,10166.5
59087,20250605221700,4.3,1001.7,5,262,12.5,0.3,10401.5
59088,20250605221700,5.0,1003.7,86,20,4.0,1.1,10288.2
59096,20250605221700,8.6,1009.4,23,94,12.7,1.4,10474.6
59097,20250605221700,3.4,1017.4,24,77,2.4,0.9,10050.7
59107,20250605221700,15.3,1007.7,59,268,5.9,0.2,10069.2
59116,20250605221700,18.4,1022.0,0,86,1.5,1.2,10039.7
59117,20250605221700,15.5,1002.8,49,293,14.4,1.1,10006.9
59271,20250605221700,17.3,1023.4,21,87,0.4,0.7,10337.9
59278,20250605221700,22.8,1009.8,23,253,10.5,1.1,10231.5
59280,20250605221700,16.6,1010.8,0,332,10.5,0.2,10068.4
59287,20250605221700,27.0,1021.3,29,295,13.4,0.3,10441.1
59289,20250605221700,22.8,1023.6,4,332,6.6,0.2,10187.5
59293,20250605221700,32.2,1014.8,62,240,3.2,0.1,10352.9
59294,20250605221700,13.9,1001.8,48,68,12.6,0.2,10402.5
59298,20250605221700,18.2,1015.5,64,194,2.3,0.9,10031.4
59303,20250605221700,30.9,1020.5,51,188,4.7,1.4,10443.6
59304,20250605221700,26.5,1023.4,19,317,14.4,0.4,10332.9
59306,20250605221700,7.8,1013.8,95,238,13.1,0.0,10142.3
59310,20250605221700,16.0,1017.9,41,234,3.4,1.4,10322.7
59316,20250605221700,30.9,1018.7,3,109,6.7,1.3,10055.3
59317,20250605221700,6.6,1003.7,97,241,0.8,0.4,10143.4
59324,20250605221700,20.3,1020.2,14,291,14.5,1.3,10211.7
59456,20250605221700,7.9,1009.0,39,99,9.1,0.6,10211.8
59462,20250605221700,7.7,1003.1,35,68,4.3,0.0,10133.2
59478,20250605221700,31.2,1014.6,93,261,10.8,0.3,10129.1
59485,20250605221700,6.7,1012.3,69,60,0.2,0.0,10270.7
59488,20250605221700,34.8,1001.2,42,109,14.4,0.4,10467.8
59493,20250605221700,3.5,1002.0,39,134,12.8,1.4,10460.0
59501,20250605221700,17.3,1019.4,40,288,10.5,1.4,10406.5
59658,20250605221700,1.4,1014.7,22,233,13.0,0.8,10420.6
59663,20250605221700,33.2,1014.0,68,272,7.7,1.3,10375.0
59664,20250605221700,2.3,1022.1,85,320,6.8,1.0,10399.7
59673,20250605221700,24.7,1025.5,65,172,12.9,0.4,10152.2
59754,20250605221700,33.5,1018.3,85,111,2.5,0.5,10198.6
57947,20250605221700,15.7,1014.4,65,121,13.4,0.1,10381.8
57957,20250605221700,31.3,1001.9,15,296,12.7,0.5,10427.1
57958,20250605221700,19.5,1012.7,49,24,3.2,0.7,10153.2
59021,20250605221700,26.2,1004.5,2,179,11.8,1.1,10085.2
59023,20250605221700,9.5,1022.1,34,34,10.5,1.5,10285.6
59027,20250605221700,4.2,1023.7,76,225,5.3,0.5,10442.0
59037,20250605221700,8.0,1026.4,73,278,9.4,0.9,10293.1
59046,20250605221700,22.6,1009.5,91,250,11.5,1.3,10187.3
59058,20250605221700,13.6,1010.4,88,301,11.2,0.9,10411.9
59065,20250605221700,31.7,1009.6,100,209,5.1,1.0,10077.5
